评论时间,昵称,评论内容
评论时间,昵称,评论内容
评论时间,昵称,评论内容
评论时间,昵称,评论内容
评论时间,昵称,评论内容
评论时间,昵称,评论内容
评论时间,昵称,评论内容
2020-12-27 22:48:20,tiny渺小01,抱抱
2020-12-27 22:29:40,萬家燈火無我一盞孤燈,万家灯火无我一盏孤灯，一个人的孤单，只能紧埋心底，每一天都在假装微笑，每当走过人海，突然特别想哭
2020-12-27 22:23:16,闵夏之蔚,看姐姐的爱乐之程孟佳小姐姐的分享而来听这首歌的
2020-12-27 22:22:50,阿晓small,那年我高中，在小卖部买文具，突然店里的电视在说“阿桑永远离开了我们”，音乐想起了一直很安静和叶子。时间也走了这么多年，我们都长大了，如果原来有很大很大的梦想，那我现在只希望平安顺遂安康就好，时间你慢点就好
2020-12-27 22:21:22,是小程程程程程程啊,所有人都以为我放下了，其实并没有，一直在心里从未放下，意难平
2020-12-27 22:15:34,予昂_,孤独对于每个人都是很宝贵的，是不可多得的充电时间
2020-12-27 22:02:33,朱小乖呀,一个人的2020要结束了
2020-12-27 19:44:07,是嘉嘉-,今年是一个人跨年了.
2020-12-27 16:10:45,俊kkk_,今年也是一个人
2020-12-27 16:01:04,谁是谁的兜,今年…也是一个人跨年了吧
2020-12-27 14:38:45,嘿宁大宝,看到葵静佳鸽都落泪了 想来品一品
2020-12-27 13:19:39,小小透明儿,很久没有听这首了，不想自己太伤感。看爱乐团综，佳和葵提到，突然又想起。
2020-12-27 12:39:20,捉到一只萤火虫,水瓶
2020-12-27 12:39:16,捉到一只萤火虫,同水平
2020-12-27 10:07:25,咯咯咯一只两只三只,惋惜
2020-12-27 09:44:07,李小雨啊yu,抱抱你
2020-12-27 09:10:09,QiaNzhIA,祝今天的自己生日快乐
2020-12-27 08:09:30,懒散小帅哥,mmMKJM
2020-12-27 03:56:10,火荆棘剑魂,白天黑夜交替，快乐悲伤的故事！
2020-12-27 03:14:41,快乐生活默,我已经想到六十年后
2020-12-27 01:56:08,谎言西西里dd,他爱你就选不放弃，他不爱 就要去打扰
2020-12-27 01:15:07,光芒與少年,人的遗憾怎么会那么多
2020-12-27 01:12:34,光芒與少年,我
2020-12-27 01:00:16,你的Tttt,2020.12.27. 00:58 值班呢 今晚警很多 有个人喝醉了我没见他 最好的爱到底是不放弃 还是不打扰
2020-12-27 00:22:38,赣江以西,2020.12.26，孤独
